algorithm_name,run_id,Round,total_time_us,total_reader_energy_j,total_tag_energy_j,total_slots,success_slots,collision_slots,idle_slots,phy_efficiency,Recall,Goodput,total_time_ms,total_time_s,total_energy_j,edp,collision_rate
LODS (eps=0.30),14,14,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
Fixed-Robust,13,13,144360.0,0.14436,0.0,16,0,16,0,0.0,1.0,6927.126627874758,144.36,0.14436,0.14436,0.020839809599999995,1.0
LODS (eps=0.60),14,14,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
Fixed-Robust,14,14,144360.0,0.14436,0.0,16,0,16,0,0.0,1.0,6927.126627874758,144.36,0.14436,0.14436,0.020839809599999995,1.0
LODS (eps=0.25),15,15,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.40),15,15,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.30),15,15,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.60),15,15,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.25),16,16,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.30),16,16,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
Fixed-Robust,15,15,144360.0,0.14436,0.0,16,0,16,0,0.0,1.0,6927.126627874758,144.36,0.14436,0.14436,0.020839809599999995,1.0
LODS (eps=0.40),16,16,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.25),17,17,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.60),16,16,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
Fixed-Robust,16,16,144360.0,0.14436,0.0,16,0,16,0,0.0,1.0,6927.126627874758,144.36,0.14436,0.14436,0.020839809599999995,1.0
LODS (eps=0.40),17,17,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.30),17,17,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.60),17,17,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.25),18,18,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
Fixed-Robust,17,17,144360.0,0.14436,0.0,16,0,16,0,0.0,1.0,6927.126627874758,144.36,0.14436,0.14436,0.020839809599999995,1.0
LODS (eps=0.40),18,18,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.30),18,18,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.60),18,18,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.25),19,19,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
Fixed-Robust,18,18,144360.0,0.14436,0.0,16,0,16,0,0.0,1.0,6927.126627874758,144.36,0.14436,0.14436,0.020839809599999995,1.0
LODS (eps=0.40),19,19,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.60),19,19,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.30),19,19,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
Fixed-Robust,19,19,144360.0,0.14436,0.0,16,0,16,0,0.0,1.0,6927.126627874758,144.36,0.14436,0.14436,0.020839809599999995,1.0
LODS (eps=0.25),20,20,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.30),20,20,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.60),20,20,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.40),20,20,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
Fixed-Robust,20,20,144360.0,0.14436,0.0,16,0,16,0,0.0,1.0,6927.126627874758,144.36,0.14436,0.14436,0.020839809599999995,1.0
LODS (eps=0.25),21,21,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.30),21,21,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.40),21,21,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
Fixed-Robust,21,21,144360.0,0.14436,0.0,16,0,16,0,0.0,1.0,6927.126627874758,144.36,0.14436,0.14436,0.020839809599999995,1.0
LODS (eps=0.60),21,21,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.25),22,22,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.30),22,22,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.40),22,22,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.60),22,22,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.25),23,23,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.40),23,23,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
Fixed-Robust,22,22,144360.0,0.14436,0.0,16,0,16,0,0.0,1.0,6927.126627874758,144.36,0.14436,0.14436,0.020839809599999995,1.0
LODS (eps=0.30),23,23,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.60),23,23,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.25),24,24,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
Fixed-Robust,23,23,144360.0,0.14436,0.0,16,0,16,0,0.0,1.0,6927.126627874758,144.36,0.14436,0.14436,0.020839809599999995,1.0
LODS (eps=0.60),24,24,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.30),24,24,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.40),24,24,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
Fixed-Robust,24,24,144360.0,0.14436,0.0,16,0,16,0,0.0,1.0,6927.126627874758,144.36,0.14436,0.14436,0.020839809599999995,1.0
LODS (eps=0.30),25,25,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.25),25,25,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.60),25,25,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.40),25,25,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
Fixed-Robust,25,25,144360.0,0.14436,0.0,16,0,16,0,0.0,1.0,6927.126627874758,144.36,0.14436,0.14436,0.020839809599999995,1.0
LODS (eps=0.30),26,26,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.25),26,26,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.40),26,26,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.60),26,26,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.40),27,27,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
Fixed-Robust,26,26,144360.0,0.14436,0.0,16,0,16,0,0.0,1.0,6927.126627874758,144.36,0.14436,0.14436,0.020839809599999995,1.0
LODS (eps=0.25),27,27,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.30),27,27,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.60),27,27,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.30),28,28,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.25),28,28,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
Fixed-Robust,27,27,144360.0,0.14436,0.0,16,0,16,0,0.0,1.0,6927.126627874758,144.36,0.14436,0.14436,0.020839809599999995,1.0
LODS (eps=0.60),28,28,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.40),28,28,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.40),29,29,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.30),29,29,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.25),29,29,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
Fixed-Robust,28,28,144360.0,0.14436,0.0,16,0,16,0,0.0,1.0,6927.126627874758,144.36,0.14436,0.14436,0.020839809599999995,1.0
LODS (eps=0.60),29,29,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
Fixed-Robust,29,29,144360.0,0.14436,0.0,16,0,16,0,0.0,1.0,6927.126627874758,144.36,0.14436,0.14436,0.020839809599999995,1.0
LODS (eps=0.60),30,30,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.40),30,30,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.25),30,30,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.30),30,30,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
Fixed-Robust,30,30,144360.0,0.14436,0.0,16,0,16,0,0.0,1.0,6927.126627874758,144.36,0.14436,0.14436,0.020839809599999995,1.0
LODS (eps=0.25),31,31,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.60),31,31,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.30),31,31,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.40),31,31,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.30),32,32,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.25),32,32,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
Fixed-Robust,31,31,144360.0,0.14436,0.0,16,0,16,0,0.0,1.0,6927.126627874758,144.36,0.14436,0.14436,0.020839809599999995,1.0
LODS (eps=0.40),32,32,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.60),32,32,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.25),33,33,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.30),33,33,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.40),33,33,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
Fixed-Robust,32,32,144360.0,0.14436,0.0,16,0,16,0,0.0,1.0,6927.126627874758,144.36,0.14436,0.14436,0.020839809599999995,1.0
LODS (eps=0.60),33,33,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.25),34,34,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.30),34,34,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.40),34,34,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
Fixed-Robust,33,33,144360.0,0.14436,0.0,16,0,16,0,0.0,1.0,6927.126627874758,144.36,0.14436,0.14436,0.020839809599999995,1.0
LODS (eps=0.60),34,34,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
LODS (eps=0.25),35,35,78065.0,0.078065,0.0,9,0,9,0,0.0,1.0,12809.837955549863,78.065,0.078065,0.078065,0.006094144225,1.0
Fixed-Robust,34,34,144360.0,0.14436,0.0,16,0,16,0,0.0,1.0,6927.126627874758,144.36,0.14436,0.14436,0.020839809599999995,1.0
